waves, flux
1.125000000000000000e+03,5.819460305848072516e-12
1.127000000000000000e+03,5.688637143074496816e-12
1.129000000000000000e+03,5.630264031816857410e-12
1.131000000000000000e+03,5.655157112345292443e-12
1.133000000000000000e+03,5.619228212473807956e-12
1.135000000000000000e+03,5.138993070104482455e-12
1.137000000000000000e+03,5.542966710174908267e-12
1.139000000000000000e+03,5.533405170641291707e-12
1.141000000000000000e+03,5.497247301351525358e-12
1.143000000000000000e+03,5.445356202610363061e-12
1.145000000000000000e+03,5.350099644399979774e-12
1.147000000000000000e+03,5.372585571893481711e-12
1.149000000000000000e+03,5.349832170315973135e-12
1.151000000000000000e+03,3.179623014534782577e-12
1.153000000000000000e+03,8.510090201974129798e-12
1.155000000000000000e+03,5.504815353551961721e-12
1.157000000000000000e+03,6.289411699778035825e-12
1.159000000000000000e+03,5.782964385137034924e-12
1.161000000000000000e+03,5.802999573922829057e-12
1.163000000000000000e+03,8.401893330373111368e-12
1.165000000000000000e+03,5.659880984026921524e-12
1.167000000000000000e+03,6.052257653377246527e-12
1.169000000000000000e+03,4.738646974811189239e-12
1.171000000000000000e+03,4.852820836148685757e-12
1.173000000000000000e+03,5.656830472794416309e-12
1.175000000000000000e+03,9.082622241113336159e-12
1.177000000000000000e+03,4.115101922413932911e-12
1.179000000000000000e+03,4.761681066806078277e-12
1.181000000000000000e+03,4.420551164702191116e-12
1.183000000000000000e+03,4.004240949234683100e-12
1.185000000000000000e+03,7.842677462316371972e-12
1.187000000000000000e+03,5.787340658786055414e-12
1.189000000000000000e+03,3.299234583448162894e-12
1.191000000000000000e+03,3.878447476374224934e-12
1.193000000000000000e+03,4.048662446964890194e-12
1.195000000000000000e+03,7.381288288921261653e-12
1.197000000000000000e+03,3.994813594504487142e-12
1.199000000000000000e+03,4.335896659074522930e-12
1.201000000000000000e+03,4.259930515976284582e-12
1.203000000000000000e+03,3.994926351530425634e-12
1.205000000000000000e+03,7.104856416736970992e-12
1.207000000000000000e+03,3.557645714483137489e-12
1.209000000000000000e+03,2.313312952653689969e-12
1.211000000000000000e+03,4.634296852518149379e-12
1.213000000000000000e+03,2.947565802546847635e-12
1.215000000000000000e+03,5.375112030817086328e-12
1.217000000000000000e+03,2.743729722587406883e-12
1.219000000000000000e+03,3.243940923172705659e-12
1.221000000000000000e+03,3.625222951691986495e-12
1.223000000000000000e+03,3.568100459191980711e-12
1.225000000000000000e+03,3.912779822368150917e-12
1.227000000000000000e+03,6.857397679208010466e-12
1.229000000000000000e+03,4.533555388736010272e-12
1.231000000000000000e+03,3.347710780463031277e-12
1.233000000000000000e+03,4.381265315822613360e-12
1.235000000000000000e+03,3.942966179254492332e-12
1.237000000000000000e+03,8.043322952122622382e-12
1.239000000000000000e+03,4.466072910797036499e-12
1.241000000000000000e+03,4.306048139585127998e-12
1.243000000000000000e+03,3.484573523823697450e-12
1.245000000000000000e+03,4.393172891442587158e-12
1.247000000000000000e+03,7.287175420381264423e-12
1.249000000000000000e+03,4.051621451534037632e-12
1.251000000000000000e+03,3.663666592323977511e-12
1.253000000000000000e+03,4.424260003493829529e-12
1.255000000000000000e+03,3.501688956158988120e-12
1.257000000000000000e+03,6.933676506212793633e-12
1.259000000000000000e+03,3.958905685913505224e-12
1.261000000000000000e+03,3.320639986939544208e-12
1.263000000000000000e+03,3.402599816487716922e-12
1.265000000000000000e+03,3.596233337163634580e-12
1.267000000000000000e+03,6.955620975024334740e-12
1.269000000000000000e+03,3.159345831824089679e-12
1.271000000000000000e+03,3.777872112364910606e-12
1.273000000000000000e+03,4.111668904654974810e-12
1.275000000000000000e+03,2.965684555572556391e-12
1.277000000000000000e+03,6.987754125331591126e-12
1.279000000000000000e+03,3.822878645587390878e-12
1.281000000000000000e+03,3.074932669600016766e-12
1.283000000000000000e+03,3.388319139152606851e-12
1.285000000000000000e+03,3.237134952455145154e-12
1.287000000000000000e+03,3.328402874494540420e-12
1.289000000000000000e+03,6.640268630092593938e-12
1.291000000000000000e+03,2.497717961277845511e-12
1.293000000000000000e+03,2.955712063990034721e-12
1.295000000000000000e+03,3.193382841146230611e-12
1.297000000000000000e+03,3.283789906660672386e-12
1.299000000000000000e+03,6.279450483898108004e-12
1.301000000000000000e+03,3.633146518008945058e-12
1.303000000000000000e+03,3.647128172384883626e-12
1.305000000000000000e+03,3.006875998190494670e-12
1.307000000000000000e+03,3.833322981955378239e-12
1.309000000000000000e+03,6.462017769839900616e-12
1.311000000000000000e+03,2.905468400593580469e-12
1.313000000000000000e+03,3.707017765669506915e-12
1.315000000000000000e+03,2.917594985052396339e-12
1.317000000000000000e+03,2.762626282251656740e-12
1.319000000000000000e+03,6.505062764491920113e-12
1.321000000000000000e+03,3.228733686660989477e-12
1.323000000000000000e+03,2.945290495867669556e-12
1.325000000000000000e+03,2.996553959827563673e-12
1.327000000000000000e+03,2.872846491946967618e-12
1.329000000000000000e+03,6.287870614810064929e-12
1.331000000000000000e+03,2.957690732954820767e-12
1.333000000000000000e+03,2.920512573098554832e-12
1.335000000000000000e+03,2.910978099193717306e-12
1.337000000000000000e+03,2.705213440409859338e-12
1.339000000000000000e+03,2.722364434576407533e-12
1.341000000000000000e+03,6.489814545138083979e-12
1.343000000000000000e+03,2.728170337210067409e-12
1.345000000000000000e+03,2.830247321228274160e-12
1.347000000000000000e+03,3.126849690629485146e-12
1.349000000000000000e+03,2.887386944122605215e-12
1.351000000000000000e+03,6.231849671717304417e-12
1.353000000000000000e+03,2.903303899376430408e-12
1.355000000000000000e+03,3.172467713877247242e-12
1.357000000000000000e+03,2.615439548964149097e-12
