wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
1.411000000000000000e+03,1.590973424289024649e+02,1.411000000000000000e+03,1.590973424289024706e+03
1.413000000000000000e+03,2.915914524264683223e+02,1.413000000000000000e+03,2.915914524264683223e+03
1.415000000000000000e+03,1.199362179926167897e+02,1.415000000000000000e+03,1.199362179926167755e+03
1.417000000000000000e+03,1.262045972699636849e+02,1.417000000000000000e+03,1.262045972699636877e+03
1.419000000000000000e+03,1.401435240551576271e+02,1.419000000000000000e+03,1.401435240551576499e+03
1.421000000000000000e+03,1.329068688397611595e+02,1.421000000000000000e+03,1.329068688397611822e+03
1.423000000000000000e+03,2.637674913655233127e+02,1.423000000000000000e+03,2.637674913655233013e+03
1.425000000000000000e+03,1.132381185574304112e+02,1.425000000000000000e+03,1.132381185574304027e+03
1.427000000000000000e+03,1.222599633695838577e+02,1.427000000000000000e+03,1.222599633695838520e+03
1.429000000000000000e+03,1.241491574260540744e+02,1.429000000000000000e+03,1.241491574260540801e+03
1.431000000000000000e+03,1.508302625776510979e+02,1.431000000000000000e+03,1.508302625776510922e+03
1.433000000000000000e+03,2.094868180017187171e+02,1.433000000000000000e+03,2.094868180017187115e+03
1.435000000000000000e+03,1.273182501865951366e+02,1.435000000000000000e+03,1.273182501865951281e+03
1.437000000000000000e+03,1.206963067614136378e+02,1.437000000000000000e+03,1.206963067614136435e+03
1.439000000000000000e+03,1.455651508630859610e+02,1.439000000000000000e+03,1.455651508630859553e+03
1.441000000000000000e+03,1.129723073283090002e+02,1.441000000000000000e+03,1.129723073283089889e+03
1.443000000000000000e+03,2.219145014985639648e+02,1.443000000000000000e+03,2.219145014985639591e+03
1.445000000000000000e+03,1.172603696863243385e+02,1.445000000000000000e+03,1.172603696863243385e+03
1.447000000000000000e+03,1.098179496519312295e+02,1.447000000000000000e+03,1.098179496519312352e+03
1.449000000000000000e+03,1.135884999244006792e+02,1.449000000000000000e+03,1.135884999244006849e+03
1.451000000000000000e+03,1.111630507168180202e+02,1.451000000000000000e+03,1.111630507168180202e+03
1.453000000000000000e+03,2.221997450598280750e+02,1.453000000000000000e+03,2.221997450598280921e+03
1.455000000000000000e+03,9.544244205656683278e+01,1.455000000000000000e+03,9.544244205656682425e+02
1.457000000000000000e+03,9.332982823526067762e+01,1.457000000000000000e+03,9.332982823526068614e+02
1.459000000000000000e+03,9.274167710163357015e+01,1.459000000000000000e+03,9.274167710163357015e+02
1.461000000000000000e+03,1.119972590412843800e+02,1.461000000000000000e+03,1.119972590412843829e+03
1.463000000000000000e+03,9.195304456520409531e+01,1.463000000000000000e+03,9.195304456520408394e+02
1.465000000000000000e+03,2.058128638128254124e+02,1.465000000000000000e+03,2.058128638128253897e+03
1.467000000000000000e+03,1.059635802372480669e+02,1.467000000000000000e+03,1.059635802372480612e+03
1.469000000000000000e+03,1.000461643313972075e+02,1.469000000000000000e+03,1.000461643313971990e+03
1.471000000000000000e+03,1.035602094260039081e+02,1.471000000000000000e+03,1.035602094260039166e+03
1.473000000000000000e+03,1.038559336226051926e+02,1.473000000000000000e+03,1.038559336226051983e+03
1.475000000000000000e+03,2.107388272313425546e+02,1.475000000000000000e+03,2.107388272313425659e+03
1.477000000000000000e+03,8.929609539071707047e+01,1.477000000000000000e+03,8.929609539071706195e+02
1.479000000000000000e+03,1.189019961462317525e+02,1.479000000000000000e+03,1.189019961462317497e+03
1.481000000000000000e+03,1.086135300706180402e+02,1.481000000000000000e+03,1.086135300706180487e+03
1.483000000000000000e+03,9.706186469955747498e+01,1.483000000000000000e+03,9.706186469955747498e+02
1.485000000000000000e+03,2.101948656801417030e+02,1.485000000000000000e+03,2.101948656801417201e+03
1.487000000000000000e+03,9.201787574417339499e+01,1.487000000000000000e+03,9.201787574417339783e+02
1.489000000000000000e+03,9.074602686254264938e+01,1.489000000000000000e+03,9.074602686254264654e+02
1.491000000000000000e+03,9.786691579312189049e+01,1.491000000000000000e+03,9.786691579312189333e+02
1.493000000000000000e+03,9.634859558207558905e+01,1.493000000000000000e+03,9.634859558207558621e+02
1.495000000000000000e+03,1.868583737595126308e+02,1.495000000000000000e+03,1.868583737595126422e+03
1.497000000000000000e+03,8.856595775590419350e+01,1.497000000000000000e+03,8.856595775590419635e+02
1.499000000000000000e+03,9.923398478562498326e+01,1.499000000000000000e+03,9.923398478562497758e+02
1.501000000000000000e+03,9.405194212032418477e+01,1.501000000000000000e+03,9.405194212032419045e+02
1.503000000000000000e+03,9.632254373319634055e+01,1.503000000000000000e+03,9.632254373319634624e+02
1.505000000000000000e+03,1.929140917552935264e+02,1.505000000000000000e+03,1.929140917552935207e+03
1.507000000000000000e+03,8.459872817468429673e+01,1.507000000000000000e+03,8.459872817468429957e+02
1.509000000000000000e+03,9.438366449865594632e+01,1.509000000000000000e+03,9.438366449865594632e+02
1.511000000000000000e+03,8.404427561237396560e+01,1.511000000000000000e+03,8.404427561237396276e+02
