wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
1.349000000000000000e+03,1.318244338504869440e+01,1.349000000000000000e+03,4.168654622297391654e+01
1.351000000000000000e+03,1.931970305798617460e+01,1.351000000000000000e+03,6.109426538135641493e+01
1.353000000000000000e+03,1.315575403352430151e+01,1.353000000000000000e+03,4.160214708288394547e+01
1.355000000000000000e+03,1.372080221365747299e+01,1.355000000000000000e+03,4.338898631983787624e+01
1.357000000000000000e+03,1.242944758103125480e+01,1.357000000000000000e+03,3.930536441372903056e+01
1.359000000000000000e+03,1.383044714650012530e+01,1.359000000000000000e+03,4.373571404151685726e+01
1.361000000000000000e+03,1.762347155483797323e+01,1.361000000000000000e+03,5.573031039247701557e+01
1.363000000000000000e+03,1.249618258152776207e+01,1.363000000000000000e+03,3.951639901495047269e+01
1.365000000000000000e+03,1.206982217085438158e+01,1.365000000000000000e+03,3.816812901309782546e+01
1.367000000000000000e+03,1.262718641982923096e+01,1.367000000000000000e+03,3.993066952620752375e+01
1.369000000000000000e+03,1.258257549384215501e+01,1.369000000000000000e+03,3.978959739155915543e+01
1.371000000000000000e+03,1.751361394958124151e+01,1.371000000000000000e+03,5.538291014157406522e+01
1.373000000000000000e+03,1.204198529209998192e+01,1.373000000000000000e+03,3.808010107328396998e+01
1.375000000000000000e+03,1.274163093608103203e+01,1.375000000000000000e+03,4.029257486327935567e+01
1.377000000000000000e+03,1.164984889047417482e+01,1.377000000000000000e+03,3.684005689068386857e+01
1.379000000000000000e+03,1.246976196522473757e+01,1.379000000000000000e+03,3.943284969024753650e+01
1.381000000000000000e+03,1.706006596837622880e+01,1.381000000000000000e+03,5.394866549279497292e+01
1.383000000000000000e+03,1.254669565285963806e+01,1.383000000000000000e+03,3.967613537196975670e+01
1.385000000000000000e+03,1.301997568898479685e+01,1.385000000000000000e+03,4.117277825721202333e+01
1.387000000000000000e+03,1.176682922711186130e+01,1.387000000000000000e+03,3.720998119591219222e+01
1.389000000000000000e+03,1.288396539178555855e+01,1.389000000000000000e+03,4.074267593282601752e+01
