waves,flux
1.279000000000000000e+03,1.804518786381008953e-10
1.281000000000000000e+03,1.675240796473606361e-10
1.283000000000000000e+03,1.570168351820259595e-10
1.285000000000000000e+03,1.476375478131428981e-10
1.287000000000000000e+03,1.537763434217725442e-10
1.289000000000000000e+03,1.573357060464001399e-10
1.291000000000000000e+03,1.652142450625504466e-10
1.293000000000000000e+03,1.732620488381421492e-10
1.295000000000000000e+03,1.807533912901731709e-10
1.297000000000000000e+03,1.569087262384180148e-10
1.299000000000000000e+03,1.755790031112949565e-10
1.301000000000000000e+03,1.621276446428510098e-10
1.303000000000000000e+03,1.398736565623307135e-10
1.305000000000000000e+03,1.454231619593934485e-10
1.307000000000000000e+03,1.509844340601911856e-10
1.309000000000000000e+03,1.610100520082530646e-10
1.311000000000000000e+03,1.395765487315665167e-10
1.313000000000000000e+03,1.460642903323552432e-10
1.315000000000000000e+03,1.518044396095441900e-10
1.317000000000000000e+03,1.489741580368406727e-10
1.319000000000000000e+03,1.299224624786197710e-10
1.321000000000000000e+03,1.374028508074506124e-10
1.323000000000000000e+03,1.433398940407888670e-10
1.325000000000000000e+03,1.463204697629197920e-10
1.327000000000000000e+03,1.641686239408122746e-10
1.329000000000000000e+03,1.541555569093069626e-10
1.331000000000000000e+03,1.483979772136824023e-10
1.333000000000000000e+03,1.563246034191994542e-10
1.335000000000000000e+03,1.104250159592647206e-10
1.337000000000000000e+03,1.507921575671099888e-10
1.339000000000000000e+03,1.489793293970566260e-10
1.341000000000000000e+03,1.466544933332376015e-10
1.343000000000000000e+03,1.366162288748870486e-10
1.345000000000000000e+03,1.496796009209227898e-10
1.347000000000000000e+03,1.356338986437111149e-10
1.349000000000000000e+03,1.246675396249230640e-10
1.351000000000000000e+03,1.258611380394736177e-10
1.353000000000000000e+03,1.377743401309583597e-10
1.355000000000000000e+03,1.384247065583377251e-10
1.357000000000000000e+03,1.357721349564264371e-10
1.359000000000000000e+03,1.240973929009726810e-10
1.361000000000000000e+03,1.344618210347910143e-10
1.363000000000000000e+03,1.143872593323051994e-10
1.365000000000000000e+03,1.265742572185659112e-10
1.367000000000000000e+03,1.356268437568547971e-10
1.369000000000000000e+03,1.534407064548352079e-10
1.371000000000000000e+03,1.221520287430628007e-10
1.373000000000000000e+03,1.117149222971670187e-10
1.375000000000000000e+03,9.522038819824547854e-11
1.377000000000000000e+03,1.083648980733838560e-10
1.379000000000000000e+03,0.000000000000000000e+00
1.381000000000000000e+03,1.536845082411850812e-10
1.383000000000000000e+03,1.331865044838588654e-10
1.385000000000000000e+03,1.178216505840860302e-10
1.387000000000000000e+03,1.018474746149444381e-10
1.389000000000000000e+03,9.523944764777692133e-11
1.391000000000000000e+03,1.231716011781108427e-10
1.393000000000000000e+03,1.208556392462423170e-10
1.395000000000000000e+03,9.904101781754715109e-11
1.397000000000000000e+03,1.321206188897861001e-10
1.399000000000000000e+03,1.321288602140757655e-10
1.401000000000000000e+03,1.373581114046363407e-10
1.403000000000000000e+03,1.053169224052297187e-10
1.405000000000000000e+03,1.262137348610394091e-10
1.407000000000000000e+03,1.057647938455998434e-10
1.409000000000000000e+03,9.169188409301025355e-11
